freq,Vppin,Vppout
0.05,1,0.4818
0.053,1,0.5033
0.056,1,0.5263
0.059,1,0.5487
0.063,1,0.5722
0.066,1,0.5952
0.07,1,0.6172
0.074,1,0.6401
0.078,1,0.6611
0.083,1,0.6861
0.088,1,0.7085
0.093,1,0.7295
0.098,1,0.7496
0.104,1,0.7725
0.11,1,0.7999
0.116,1,0.8155
0.123,1,0.8336
0.13,1,0.8576
0.137,1,0.8732
0.145,1,0.8913
0.154,1,0.9123
0.163,1,0.927
0.172,1,0.9372
0.182,1,0.9519
0.192,1,0.9641
0.204,1,0.9802
0.215,1,0.991
0.228,1,1.0012
0.241,1,1.012
0.255,1,1.0193
0.27,1,1.0256
0.285,1,1.034
0.302,1,1.0447
0.319,1,1.0491
0.338,1,1.0535
0.357,1,1.0623
0.378,1,1.0696
0.4,1,1.0696
0.423,1,1.0731
0.447,1,1.075
0.473,1,1.0804
0.5,1,1.0838
0.529,1,1.0858
0.56,1,1.0911
0.592,1,1.0862
0.626,1,1.0911
0.662,1,1.0906
0.701,1,1.0936
0.741,1,1.096
0.784,1,1.098
0.829,1,1.097
0.877,1,1.096
0.928,1,1.0965
0.981,1,1.098
1.038,1,1.1014
1.098,1,1.0999
1.161,1,1.0985
1.229,1,1.099
1.3,1,1.099
1.375,1,1.099
1.454,1,1.1004
1.538,1,1.0994
1.627,1,1.097
1.721,1,1.098
1.82,1,1.095
1.926,1,1.097
2.037,1,1.095
2.154,1,1.0945
2.279,1,1.0916
2.411,1,1.0936
2.55,1,1.0897
2.697,1,1.0892
2.853,1,1.0887
3.018,1,1.0867
3.192,1,1.0818
3.377,1,1.0789
3.572,1,1.0799
3.778,1,1.0755
3.996,1,1.0721
4.227,1,1.0691
4.472,1,1.0652
4.73,1,1.0603
5.003,1,1.0574
5.292,1,1.052
5.598,1,1.0467
5.922,1,1.0389
6.264,1,1.0325
6.626,1,1.0208
7.008,1,1.0076
7.413,1,0.988
7.842,1,0.9709
8.295,1,0.9367
8.774,1,0.9015
9.281,1,0.8488
9.817,1,0.7877
10.384,1,0.7159
10.984,1,0.6421
11.619,1,0.561
12.29,1,0.4818
13.0,1,0.4114
