freq,Vppin,Vppout
0.05,1,0.2575
0.053,1,0.2854
0.056,1,0.3083
0.059,1,0.3357
0.063,1,0.3733
0.066,1,0.3992
0.07,1,0.4398
0.074,1,0.4759
0.078,1,0.5082
0.083,1,0.5536
0.088,1,0.5947
0.093,1,0.6318
0.098,1,0.6685
0.104,1,0.7076
0.11,1,0.7422
0.116,1,0.7725
0.123,1,0.8058
0.13,1,0.8317
0.137,1,0.8532
0.145,1,0.8752
0.154,1,0.8967
0.163,1,0.9123
0.172,1,0.9255
0.182,1,0.9401
0.192,1,0.9465
0.204,1,0.9572
0.215,1,0.966
0.228,1,0.9744
0.241,1,0.9773
0.255,1,0.9802
0.27,1,0.988
0.285,1,0.9861
0.302,1,0.9895
0.319,1,0.9919
0.338,1,0.9959
0.357,1,0.9963
0.378,1,0.9983
0.4,1,1.0032
0.423,1,1.0007
0.447,1,1.0027
0.473,1,1.0056
0.5,1,1.0027
0.529,1,1.0046
0.56,1,1.0037
0.592,1,1.0051
0.626,1,1.0086
0.662,1,1.0061
0.701,1,1.0081
0.741,1,1.009
0.784,1,1.0125
0.829,1,1.0105
0.877,1,1.01
0.928,1,1.0086
0.981,1,1.0095
1.038,1,1.0125
1.098,1,1.0115
1.161,1,1.0095
1.229,1,1.0086
1.3,1,1.0095
1.375,1,1.01
1.454,1,1.0105
1.538,1,1.011
1.627,1,1.0095
1.721,1,1.011
1.82,1,1.01
1.926,1,1.0105
2.037,1,1.011
2.154,1,1.0125
2.279,1,1.009
2.411,1,1.0105
2.55,1,1.01
2.697,1,1.0095
2.853,1,1.0095
3.018,1,1.0139
3.192,1,1.0095
3.377,1,1.012
3.572,1,1.009
3.778,1,1.0149
3.996,1,1.0081
4.227,1,1.01
4.472,1,1.0076
4.73,1,1.0071
5.003,1,1.0051
5.292,1,1.0056
5.598,1,1.0051
5.922,1,1.0012
6.264,1,0.9954
6.626,1,0.9866
7.008,1,0.9744
7.413,1,0.9587
7.842,1,0.9328
8.295,1,0.8976
8.774,1,0.8502
9.281,1,0.7926
9.817,1,0.7159
10.384,1,0.6357
10.984,1,0.5522
11.619,1,0.472
12.29,1,0.3958
13.0,1,0.3303
